id,date,confirmed,death,cured,serious,negative,suspected,tested,test_done,england,scotland,wales,nireland
1,1580,0,0,0,0,161,0,NULL,NULL,NULL,NULL,NULL,NULL
3,1580,2,0,0,0,175,0,NULL,NULL,NULL,NULL,NULL,NULL
2,1580,2,0,0,0,201,0,NULL,NULL,NULL,NULL,NULL,NULL
4,1580,2,0,0,0,264,0,NULL,NULL,NULL,NULL,NULL,NULL
5,1580,2,0,0,0,324,0,NULL,NULL,NULL,NULL,NULL,NULL
6,1580,2,0,0,0,414,0,NULL,NULL,NULL,NULL,NULL,NULL
7,1580,2,0,0,0,466,0,NULL,NULL,NULL,NULL,NULL,NULL
8,1581,3,0,0,0,563,0,NULL,NULL,NULL,NULL,NULL,NULL
10,1581,3,0,0,0,617,0,NULL,NULL,NULL,NULL,NULL,NULL
9,1581,3,0,0,0,683,0,NULL,NULL,NULL,NULL,NULL,NULL
11,1581,4,0,0,0,791,0,NULL,NULL,NULL,NULL,NULL,NULL
12,1581,8,0,0,0,1106,0,NULL,NULL,NULL,NULL,NULL,NULL
17,1581,8,0,0,0,1350,0,NULL,NULL,NULL,NULL,NULL,NULL
13,1581,8,0,0,0,1750,0,NULL,NULL,NULL,NULL,NULL,NULL
14,1581,9,0,0,0,2512,0,NULL,NULL,NULL,NULL,NULL,NULL
16,1581,9,0,0,0,2955,0,NULL,NULL,NULL,NULL,NULL,NULL
15,1581,9,0,0,0,2983,0,NULL,NULL,NULL,NULL,NULL,NULL
18,1581,9,0,0,0,3100,0,NULL,NULL,NULL,NULL,NULL,NULL
19,1581,9,0,0,0,4492,0,NULL,NULL,NULL,NULL,NULL,NULL
20,1582,9,0,0,0,4907,0,NULL,NULL,NULL,NULL,NULL,NULL
21,1582,9,0,0,0,5207,0,NULL,NULL,NULL,NULL,NULL,NULL
22,1582,9,0,0,0,5540,0,NULL,NULL,NULL,NULL,NULL,NULL
23,1582,9,0,0,0,5876,0,NULL,NULL,NULL,NULL,NULL,NULL
24,1582,9,0,0,0,6143,0,NULL,NULL,NULL,NULL,NULL,NULL
25,1582,9,0,0,0,6315,0,NULL,NULL,NULL,NULL,NULL,NULL
26,1582,9,0,0,0,6527,0,NULL,NULL,NULL,NULL,NULL,NULL
