"","id","date","confirmed","death","cured","serious","negative","suspected","tested","test_done","england","scotland","wales","nireland"
"1","1","1.580428e+12","0","0","0","0","161","0","NULL","NULL","NULL","NULL","NULL","NULL"
"2","3","1.580515e+12","2","0","0","0","175","0","NULL","NULL","NULL","NULL","NULL","NULL"
"3","2","1.580601e+12","2","0","0","0","201","0","NULL","NULL","NULL","NULL","NULL","NULL"
"4","4","1.580687e+12","2","0","0","0","264","0","NULL","NULL","NULL","NULL","NULL","NULL"
"5","5","1.580774e+12","2","0","0","0","324","0","NULL","NULL","NULL","NULL","NULL","NULL"
"6","6","1.58086e+12","2","0","0","0","414","0","NULL","NULL","NULL","NULL","NULL","NULL"
"7","7","1.580947e+12","2","0","0","0","466","0","NULL","NULL","NULL","NULL","NULL","NULL"
"8","8","1.581033e+12","3","0","0","0","563","0","NULL","NULL","NULL","NULL","NULL","NULL"
"9","10","1.581119e+12","3","0","0","0","617","0","NULL","NULL","NULL","NULL","NULL","NULL"
"10","9","1.581206e+12","3","0","0","0","683","0","NULL","NULL","NULL","NULL","NULL","NULL"
"11","11","1.581292e+12","4","0","0","0","791","0","NULL","NULL","NULL","NULL","NULL","NULL"
"12","12","1.581379e+12","8","0","0","0","1106","0","NULL","NULL","NULL","NULL","NULL","NULL"
"13","17","1.581465e+12","8","0","0","0","1350","0","NULL","NULL","NULL","NULL","NULL","NULL"
"14","13","1.581551e+12","8","0","0","0","1750","0","NULL","NULL","NULL","NULL","NULL","NULL"
"15","14","1.581638e+12","9","0","0","0","2512","0","NULL","NULL","NULL","NULL","NULL","NULL"
"16","16","1.581724e+12","9","0","0","0","2955","0","NULL","NULL","NULL","NULL","NULL","NULL"
"17","15","1.581811e+12","9","0","0","0","2983","0","NULL","NULL","NULL","NULL","NULL","NULL"
"18","18","1.581897e+12","9","0","0","0","3100","0","NULL","NULL","NULL","NULL","NULL","NULL"
"19","19","1.581983e+12","9","0","0","0","4492","0","NULL","NULL","NULL","NULL","NULL","NULL"
"20","20","1.58207e+12","9","0","0","0","4907","0","NULL","NULL","NULL","NULL","NULL","NULL"
"21","21","1.582156e+12","9","0","0","0","5207","0","NULL","NULL","NULL","NULL","NULL","NULL"
"22","22","1.582243e+12","9","0","0","0","5540","0","NULL","NULL","NULL","NULL","NULL","NULL"
"23","23","1.582329e+12","9","0","0","0","5876","0","NULL","NULL","NULL","NULL","NULL","NULL"
"24","24","1.582415e+12","9","0","0","0","6143","0","NULL","NULL","NULL","NULL","NULL","NULL"
"25","25","1.582502e+12","9","0","0","0","6315","0","NULL","NULL","NULL","NULL","NULL","NULL"
"26","26","1.582588e+12","9","0","0","0","6527","0","NULL","NULL","NULL","NULL","NULL","NULL"
"27","27","1.582675e+12","13","0","0","0","6782","0","NULL","NULL","NULL","NULL","NULL","NULL"
"28","28","1.582759e+12","13","0","0","0","7119","0","NULL","NULL","NULL","NULL","NULL","NULL"
"29","29","1.582845e+12","15","0","0","0","7675","0","NULL","NULL","NULL","NULL","NULL","NULL"
"30","30","1.582931e+12","19","0","0","0","8966","0","NULL","NULL","NULL","NULL","NULL","NULL"
"31","31","1.583018e+12","23","0","0","0","10460","0","NULL","NULL","NULL","NULL","NULL","NULL"
"32","32","1.583104e+12","35","0","0","0","11715","0","NULL","NULL","NULL","NULL","NULL","NULL"
"33","33","1.583191e+12","40","0","0","0","13405","0","NULL","NULL","NULL","NULL","NULL","NULL"
"34","34","1.583277e+12","51","0","0","0","13860","0","NULL","NULL","NULL","NULL","NULL","NULL"
