China,china_new
139,59
198,77
291,77
440,149
571,131
830,259
1287,457
1975,688
2744,769
4515,1771
5974,1459
7711,1737
9692,1981
11791,2099
14380,2589
17205,2825
20438,3233
24324,3886
28018,3694
31161,3143
34546,3385
37198,2652
40171,2973
42638,2467
44653,2015
59804,15151
63851,4047
66492,2641
68500,2008
70548,2048
72436,1888
74185,1749
74576,391
75465,889
76288,823
76936,648
77150,214
77658,508
78064,406
78497,433
78824,327
79251,427
79824,573
80026,202
80151,125
80270,119
80409,139
80552,143
80651,99
80695,44
80735,40
80754,19
80778,24
80793,15
80813,20
80824,11
80844,20
80860,16
80881,21
80894,13
80928,34
80945,17
80977,32
81003,26
81033,30
81058,25
81102,44
81156,54
81250,94
81305,55
81435,130
81498,63
81591,93
81661,70
81782,121
81897,115
81999,102
82122,123
82198,76
82279,81
82361,82
82432,71
82511,79
82543,32
82602,59
82665,63
82718,53
82809,91
82883,74
82941,58
83014,73
83134,120
83213,79
83306,93
83356,50
83403,47
83760,357
83787,27
83805,18
83817,12
83853,36
