Germany,Italy,Spain,Spain_new,Italy_new,Germany_new
0,0,0,0,0,0
1,0,0,0,0,1
4,0,0,0,0,3
4,0,0,0,0,0
4,0,0,0,0,0
5,2,0,0,2,1
8,2,1,1,0,3
10,2,1,0,0,2
12,2,1,0,0,2
12,2,1,0,0,0
12,2,1,0,0,0
12,2,1,0,0,0
13,3,1,0,1,1
13,3,1,0,0,0
14,3,2,1,0,1
14,3,2,0,0,0
16,3,2,0,0,2
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,3,2,0,0,0
16,20,2,0,17,0
16,62,2,0,42,0
16,155,2,0,93,0
16,229,2,0,74,0
17,322,6,4,93,1
27,453,13,7,131,10
46,655,15,2,202,19
48,888,32,17,233,2
79,1128,45,13,240,31
130,1694,84,39,566,51
159,2036,120,36,342,29
196,2502,165,45,466,37
262,3089,222,57,587,66
482,3858,259,37,769,220
670,4636,400,141,778,188
799,5883,500,100,1247,129
1040,7375,673,173,1492,241
1176,9172,1073,400,1797,136
1457,10149,1695,622,977,281
1908,12462,2277,582,2313,451
2078,12462,2277,0,0,170
3675,17660,5232,2955,5198,1597
4585,21157,6391,1159,3497,910
5795,24747,7798,1407,3590,1210
7272,27980,9942,2144,3233,1477
9257,31506,11748,1806,3526,1985
12327,35713,13910,2162,4207,3070
15320,41035,17963,4053,5322,2993
19848,47021,20410,2447,5986,4528
22213,53578,25374,4964,6557,2365
24873,59138,28768,3394,5560,2660
29056,63927,35136,6368,4789,4183
32986,69176,39885,4749,5249,3930
37323,74386,49515,9630,5210,4337
43938,80589,57786,8271,6203,6615
50871,86498,65719,7933,5909,6933
57695,92472,73235,7516,5974,6824
62095,97689,80110,6875,5217,4400
66885,101739,87956,7846,4050,4790
71808,105792,95923,7967,4053,4923
77872,110574,104118,8195,4782,6064
84794,115242,112065,7947,4668,6922
91159,119827,119199,7134,4585,6365
96092,124632,126168,6969,4805,4933
100123,128948,131646,5478,4316,4031
103374,132547,136675,5029,3599,3251
107663,135586,141942,5267,3039,4289
113296,139422,148220,6278,3836,5633
118181,143626,153222,5002,4204,4885
122171,147577,158273,5051,3951,3990
124908,152271,163027,4754,4694,2737
127854,156363,166831,3804,4092,2946
130072,159516,170099,3268,3153,2218
131359,162488,172541,2442,2972,1287
134753,165155,177644,5103,2667,3394
137698,168941,184948,7304,3786,2945
141397,172434,190839,5891,3493,3699
143342,175925,191726,887,3491,1945
145184,178972,198674,6948,3047,1842
147065,181228,200210,1536,2256,1881
148291,183957,204178,3968,2729,1226
150648,187327,208389,4211,3370,2357
153129,189973,213024,4635,2646,2481
154999,192994,202990,-10034,3021,1870
156513,195351,205905,2915,2357,1514
157770,197675,207634,1729,2324,1257
158758,199414,209465,1831,1739,988
159912,201505,210773,1308,2091,1154
161539,203591,212917,2144,2086,1627
