id,date,confirmed,death,cured,serious,negative,suspected,tested,test_done,england,scotland,wales,nireland,hospital,icuArea,newConfirmed,newDeath
1,1580428200000,0,0,0,0,161,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
3,1580514600000,2,0,0,0,175,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0
2,1.580601e+12,2,0,0,0,201,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
4,1580687400000,2,0,0,0,264,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
5,1580773800000,2,0,0,0,324,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
6,1580860200000,2,0,0,0,414,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
7,1580946600000,2,0,0,0,466,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
8,1.581033e+12,3,0,0,0,563,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0
10,1581119400000,3,0,0,0,617,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
9,1581205800000,3,0,0,0,683,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
11,1581292200000,4,0,0,0,791,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0
12,1581378600000,8,0,0,0,1106,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0
17,1.581465e+12,8,0,0,0,1350,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
13,1581551400000,8,0,0,0,1750,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
14,1581637800000,9,0,0,0,2512,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0
16,1581724200000,9,0,0,0,2955,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
15,1581810600000,9,0,0,0,2983,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
18,1.581897e+12,9,0,0,0,3100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
19,1581983400000,9,0,0,0,4492,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
20,1582069800000,9,0,0,0,4907,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
21,1582156200000,9,0,0,0,5207,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
22,1582242600000,9,0,0,0,5540,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
23,1.582329e+12,9,0,0,0,5876,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
24,1582415400000,9,0,0,0,6143,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
25,1582501800000,9,0,0,0,6315,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
26,1582588200000,9,0,0,0,6527,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
27,1582674600000,13,0,0,0,6782,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0
28,1582758600000,13,0,0,0,7119,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
29,1.582845e+12,15,0,0,0,7675,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0
30,1582931400000,19,0,0,0,8966,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0
31,1583017800000,23,0,0,0,10460,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0
32,1583104200000,35,0,0,0,11715,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,0
33,1583190600000,40,0,0,0,13405,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0
34,1.583277e+12,51,0,0,0,13860,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,0
35,1583363400000,85,0,0,0,16574,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,0
36,1583449800000,115,0,0,0,17968,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,0
37,1583538610000,163,1,18,0,20175,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,1
