Italy,Italy_new
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
20,17
62,42
155,93
229,74
322,93
453,131
655,202
888,233
1128,240
1694,566
2036,342
2502,466
3089,587
3858,769
4636,778
5883,1247
7375,1492
9172,1797
10149,977
12462,2313
17660,5198
21157,3497
24747,3590
27980,3233
31506,3526
35713,4207
41035,5322
47021,5986
53578,6557
59138,5560
63927,4789
69176,5249
74386,5210
80589,6203
86498,5909
92472,5974
97689,5217
101739,4050
105792,4053
110574,4782
115242,4668
119827,4585
124632,4805
128948,4316
132547,3599
135586,3039
139422,3836
143626,4204
147577,3951
152271,4694
156363,4092
159516,3153
162488,2972
165155,2667
168941,3786
172434,3493
175925,3491
178972,3047
181228,2256
183957,2729
